86369,50.0,35.0
86391,50.0,36.0
86413,50.0,35.0
86435,50.0,35.0
86457,50.0,35.0
86479,50.0,35.0
86501,50.0,35.0
86523,50.0,36.0
86545,50.0,35.0
86567,50.0,35.0
86589,50.0,35.0
86611,50.0,35.0
86633,50.0,35.0
86655,50.0,35.0
86677,50.0,35.0
86699,50.0,36.0
86721,50.0,35.0
86743,50.0,35.0
86765,50.0,35.0
86787,50.0,35.0
86809,50.0,35.0
86831,50.0,35.0
86853,50.0,35.0
86875,50.0,35.0
86897,50.0,35.0
86919,50.0,35.0
86941,50.0,35.0
86963,50.0,35.0
86985,50.0,35.0
87007,50.0,35.0
87029,50.0,35.0
87051,50.0,35.0
87073,50.0,35.0
87095,50.0,35.0
87117,50.0,36.0
87139,50.0,34.0
87161,50.0,35.0
87183,50.0,35.0
87205,50.0,35.0
87227,50.0,35.0
87249,50.0,35.0
87271,50.0,35.0
87293,50.0,35.0
87315,50.0,35.0
87337,50.0,35.0
87359,50.0,36.0
87381,50.0,35.0
87403,50.0,35.0
87425,50.0,35.0
87447,50.0,35.0
87469,50.0,36.0
87491,50.0,35.0
87513,50.0,35.0
87535,50.0,35.0
87557,50.0,35.0
87579,50.0,36.0
87601,50.0,35.0
87623,50.0,35.0
87645,50.0,35.0
87667,50.0,35.0
87689,50.0,35.0
87711,50.0,35.0
87733,50.0,35.0
87755,50.0,35.0
87777,50.0,36.0
87799,50.0,35.0
87821,50.0,35.0
87843,50.0,35.0
87865,50.0,35.0
87887,50.0,35.0
87909,50.0,36.0
87931,50.0,35.0
87953,50.0,35.0
87975,50.0,35.0
87997,50.0,35.0
88019,50.0,36.0
88041,50.0,35.0
88063,50.0,35.0
88085,50.0,35.0
88107,50.0,35.0
88129,50.0,36.0
88151,50.0,35.0
88173,50.0,35.0
88195,50.0,36.0
88217,50.0,35.0
88239,50.0,35.0
88261,50.0,35.0
88283,50.0,35.0
88305,50.0,35.0
88327,50.0,35.0
88349,50.0,35.0
88371,50.0,35.0
88393,50.0,35.0
88415,50.0,36.0
88437,50.0,35.0
88459,50.0,35.0
88481,50.0,35.0
88503,50.0,35.0
88525,50.0,36.0
88547,50.0,35.0
88569,50.0,35.0
88591,50.0,35.0
88613,50.0,35.0
88635,50.0,35.0
88657,50.0,36.0
88679,50.0,35.0
88701,50.0,35.0
88723,50.0,35.0
88745,50.0,35.0
88767,50.0,35.0
88789,50.0,36.0
88811,50.0,35.0
88833,50.0,35.0
88855,50.0,35.0
88877,50.0,35.0
88899,50.0,36.0
88921,50.0,35.0
88943,50.0,35.0
88965,50.0,35.0
88987,50.0,35.0
89009,50.0,35.0
89031,50.0,35.0
89053,50.0,35.0
89075,50.0,35.0
89097,50.0,36.0
89119,50.0,35.0
89141,50.0,35.0
89163,50.0,35.0
89185,50.0,35.0
89207,50.0,36.0
89229,50.0,35.0
89251,50.0,35.0
89273,50.0,35.0
89295,0.0,35.0
89317,0.0,35.0
89339,0.0,2.0
89361,0.0,0.0
89383,0.0,1.0
89427,0.0,0.0
89449,0.0,0.0
89471,0.0,0.0
89493,0.0,0.0
89515,0.0,0.0
89537,0.0,0.0
89559,0.0,0.0
89581,0.0,0.0
89603,0.0,0.0
89625,0.0,0.0
89647,0.0,0.0
89669,0.0,0.0
89691,0.0,0.0
89713,0.0,0.0
89735,0.0,0.0
89757,0.0,0.0
89779,0.0,0.0
89801,0.0,0.0
89823,0.0,0.0
89845,0.0,0.0
89867,0.0,0.0
89889,0.0,0.0
89911,0.0,0.0
89933,0.0,0.0
